date,code,pbMRQ
2021-09-30,sh.600000,0.489300
2021-09-30,sh.600004,1.386481
2021-09-30,sh.600006,1.792911
2021-09-30,sh.600007,1.819553
2021-09-30,sh.600008,1.618030
2021-09-30,sh.600009,2.994509
2021-09-30,sh.600010,2.593800
2021-09-30,sh.600011,1.777678
2021-09-30,sh.600012,0.950374
2021-09-30,sh.600015,0.381204
2021-09-30,sh.600016,0.359959
2021-09-30,sh.600017,0.665202
2021-09-30,sh.600018,1.523464
2021-09-30,sh.600019,1.014861
2021-09-30,sh.600020,0.713992
2021-09-30,sh.600021,1.922899
2021-09-30,sh.600022,0.988155
2021-09-30,sh.600023,0.826509
2021-09-30,sh.600025,3.191398
2021-09-30,sh.600026,0.950244
2021-09-30,sh.600027,0.979203
2021-09-30,sh.600028,0.705711
2021-09-30,sh.600029,1.305270
2021-09-30,sh.600030,1.743749
2021-09-30,sh.600031,3.493801
2021-09-30,sh.600032,4.534068
2021-09-30,sh.600033,0.775598
2021-09-30,sh.600035,0.766959
2021-09-30,sh.600036,1.896693
2021-09-30,sh.600037,0.862237
2021-09-30,sh.600038,3.624273
2021-09-30,sh.600039,1.670143
2021-09-30,sh.600048,1.034764
2021-09-30,sh.600050,0.857664
2021-09-30,sh.600051,0.684031
2021-09-30,sh.600052,1.110107
2021-09-30,sh.600053,2.302523
2021-09-30,sh.600054,1.555023
2021-09-30,sh.600055,4.260984
2021-09-30,sh.600056,1.174236
2021-09-30,sh.600057,1.453360
2021-09-30,sh.600058,2.399841
2021-09-30,sh.600059,1.917114
2021-09-30,sh.600060,0.975395
2021-09-30,sh.600061,1.285305
2021-09-30,sh.600062,1.276450
2021-09-30,sh.600063,2.141000
2021-09-30,sh.600064,0.786400
2021-09-30,sh.600066,1.769714
2021-09-30,sh.600067,0.791541
2021-09-30,sh.600070,1.675752
2021-09-30,sh.600071,9.174536
2021-09-30,sh.600072,2.433292
2021-09-30,sh.600073,1.649117
2021-09-30,sh.600075,2.052182
2021-09-30,sh.600076,1.087425
2021-09-30,sh.600077,0.663861
2021-09-30,sh.600078,-8.296002
2021-09-30,sh.600079,2.639454
2021-09-30,sh.600080,1.788780
2021-09-30,sh.600081,3.789576
2021-09-30,sh.600082,1.083812
2021-09-30,sh.600083,235.288000
2021-09-30,sh.600084,1.863361
2021-09-30,sh.600085,4.270697
2021-09-30,sh.600088,3.879528
2021-09-30,sh.600089,2.546787
2021-09-30,sh.600090,0.559629
2021-09-30,sh.600091,1.276111
2021-09-30,sh.600093,-0.674618
2021-09-30,sh.600094,0.663688
2021-09-30,sh.600095,2.586526
2021-09-30,sh.600096,5.601012
2021-09-30,sh.600097,1.403869
2021-09-30,sh.600098,1.292221
2021-09-30,sh.600099,3.200518
2021-09-30,sh.600100,1.268040
2021-09-30,sh.600101,1.268667
2021-09-30,sh.600103,1.817158
2021-09-30,sh.600104,0.807756
2021-09-30,sh.600105,1.780502
2021-09-30,sh.600106,0.754689
2021-09-30,sh.600107,2.716561
2021-09-30,sh.600108,1.589288
2021-09-30,sh.600109,1.493542
2021-09-30,sh.600110,8.277576
2021-09-30,sh.600111,13.204930
2021-09-30,sh.600112,-25.175327
2021-09-30,sh.600113,1.560314
2021-09-30,sh.600114,2.001717
2021-09-30,sh.600115,1.611907
2021-09-30,sh.600116,2.035071
2021-09-30,sh.600117,3.330700
2021-09-30,sh.600118,5.211577
2021-09-30,sh.600119,7.962556
2021-09-30,sh.600120,0.890252
2021-09-30,sh.600121,3.581879
2021-09-30,sh.600122,8.267331
2021-09-30,sh.600123,1.282094
2021-09-30,sh.600125,1.018596
2021-09-30,sh.600126,0.937130
2021-09-30,sh.600127,7.050675
2021-09-30,sh.600128,0.878285
2021-09-30,sh.600129,2.490280
2021-09-30,sh.600130,2.991675
2021-09-30,sh.600131,3.898347
2021-09-30,sh.600132,52.588056
2021-09-30,sh.600133,0.821275
2021-09-30,sh.600135,1.518506
2021-09-30,sh.600136,1.693621
2021-09-30,sh.600137,2.635830
2021-09-30,sh.600138,1.134530
2021-09-30,sh.600139,21.046407
2021-09-30,sh.600141,4.786662
2021-09-30,sh.600143,2.541467
2021-09-30,sh.600145,6.144524
2021-09-30,sh.600146,1.947319
2021-09-30,sh.600148,3.371209
2021-09-30,sh.600149,11.611191
2021-09-30,sh.600150,2.439230
2021-09-30,sh.600151,2.839713
2021-09-30,sh.600152,2.652551
2021-09-30,sh.600153,0.635532
2021-09-30,sh.600155,1.105818
2021-09-30,sh.600156,2.205670
2021-09-30,sh.600157,1.050808
2021-09-30,sh.600158,4.738707
2021-09-30,sh.600159,0.847174
2021-09-30,sh.600160,3.266004
2021-09-30,sh.600161,5.761683
2021-09-30,sh.600162,1.244548
2021-09-30,sh.600163,4.685447
2021-09-30,sh.600165,8.534552
2021-09-30,sh.600166,1.550680
2021-09-30,sh.600167,2.552255
2021-09-30,sh.600168,0.919036
2021-09-30,sh.600169,2.169980
2021-09-30,sh.600170,1.308020
2021-09-30,sh.600171,7.058837
2021-09-30,sh.600172,3.834247
2021-09-30,sh.600173,1.077692
2021-09-30,sh.600176,3.663480
2021-09-30,sh.600177,0.998735
2021-09-30,sh.600178,1.337916
2021-09-30,sh.600179,2.934048
2021-09-30,sh.600180,0.986735
2021-09-30,sh.600182,4.562814
2021-09-30,sh.600183,4.322677
2021-09-30,sh.600184,2.262590
2021-09-30,sh.600185,1.587986
2021-09-30,sh.600186,15.127065
2021-09-30,sh.600187,1.247129
2021-09-30,sh.600188,2.796578
2021-09-30,sh.600189,3.843109
2021-09-30,sh.600190,0.866346
2021-09-30,sh.600191,0.995607
2021-09-30,sh.600192,1.242573
2021-09-30,sh.600193,11.249032
2021-09-30,sh.600195,2.371673
2021-09-30,sh.600196,3.540314
2021-09-30,sh.600197,3.404055
2021-09-30,sh.600198,-5.250271
2021-09-30,sh.600199,4.300483
2021-09-30,sh.600200,2.893854
2021-09-30,sh.600201,3.281565
2021-09-30,sh.600202,2.524020
2021-09-30,sh.600203,1.823420
2021-09-30,sh.600206,3.357866
2021-09-30,sh.600207,3.226878
2021-09-30,sh.600208,0.661447
2021-09-30,sh.600209,5.429701
2021-09-30,sh.600210,2.550114
2021-09-30,sh.600211,4.338774
2021-09-30,sh.600212,7.051129
2021-09-30,sh.600213,-75.876202
2021-09-30,sh.600215,1.522147
2021-09-30,sh.600216,1.926512
2021-09-30,sh.600217,3.220181
2021-09-30,sh.600218,2.419670
2021-09-30,sh.600219,1.266602
2021-09-30,sh.600220,2.110150
2021-09-30,sh.600221,-1.182274
2021-09-30,sh.600222,2.836042
2021-09-30,sh.600223,4.148352
