date,code,peTTM
2021-09-30,sz.002679,-13083.182
2021-09-30,sz.002613,-11682.784391
2021-09-30,sz.002856,-10353.150257
2021-09-30,sz.002529,-9019.356502
2021-09-30,sh.600615,-6428.695357
2021-09-30,sz.300446,-5272.359741
2021-09-30,sh.600861,-4806.385592
2021-09-30,sh.688521,-4516.257176
2021-09-30,sh.600488,-4034.075041
2021-09-30,sh.688321,-3203.573633
2021-09-30,sz.300658,-3101.595238
2021-09-30,sz.300085,-3032.649902
2021-09-30,sz.002667,-2407.127672
2021-09-30,sz.300411,-2284.719607
2021-09-30,sz.000595,-2269.495412
2021-09-30,sh.600391,-2186.72241
2021-09-30,sz.002646,-2149.300944
2021-09-30,sz.002051,-2148.572318
2021-09-30,sz.300523,-2084.801059
2021-09-30,sz.002207,-1496.045689
2021-09-30,sz.300128,-1459.384144
2021-09-30,sz.300533,-1452.112457
2021-09-30,sz.300757,-1403.061726
2021-09-30,sz.002478,-1370.043539
2021-09-30,sz.002696,-1363.554105
2021-09-30,sz.300107,-1283.39912
2021-09-30,sz.300859,-1283.121963
2021-09-30,sz.300056,-1221.268247
2021-09-30,sh.600854,-1147.61786
2021-09-30,sz.002319,-1075.202633
2021-09-30,sz.300076,-818.833228
2021-09-30,sz.300023,-751.406778
2021-09-30,sh.600812,-647.750833
2021-09-30,sz.002153,-581.846907
2021-09-30,sh.600892,-542.622537
2021-09-30,sh.600543,-499.569663
2021-09-30,sz.000518,-498.512378
2021-09-30,sz.000540,-490.362881
2021-09-30,sz.002104,-463.615167
2021-09-30,sh.600640,-435.537412
2021-09-30,sz.000599,-425.924499
2021-09-30,sz.002805,-425.055257
2021-09-30,sz.002306,-389.742783
2021-09-30,sh.603499,-382.045946
2021-09-30,sz.000622,-373.061964
2021-09-30,sz.300479,-372.164854
2021-09-30,sz.000613,-367.913694
2021-09-30,sz.300436,-349.330225
2021-09-30,sz.002638,-347.609343
2021-09-30,sh.600547,-339.206772
2021-09-30,sz.300134,-325.033515
2021-09-30,sz.300683,-321.804147
2021-09-30,sh.600084,-317.010859
2021-09-30,sz.000993,-310.456978
2021-09-30,sz.300237,-300.14936
2021-09-30,sh.601021,-295.296683
2021-09-30,sz.002548,-291.530803
2021-09-30,sz.300080,-288.324125
2021-09-30,sh.600754,-285.336936
2021-09-30,sz.002610,-278.59153
2021-09-30,sh.601989,-270.790945
2021-09-30,sh.600568,-263.044734
2021-09-30,sz.300197,-260.811317
2021-09-30,sz.300612,-251.061279
2021-09-30,sh.600318,-236.908796
2021-09-30,sh.600203,-234.0093
2021-09-30,sh.600771,-228.056127
2021-09-30,sh.603031,-212.307667
2021-09-30,sz.002796,-212.141728
2021-09-30,sz.000851,-207.207254
2021-09-30,sh.603268,-203.160137
2021-09-30,sh.600495,-192.860964
2021-09-30,sh.600744,-185.930274
2021-09-30,sh.688091,-181.701331
2021-09-30,sz.000890,-179.860174
2021-09-30,sz.300032,-179.148303
2021-09-30,sh.600793,-177.582491
2021-09-30,sz.002865,-176.31501
